,着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
7,8,2,2,シールート,セ4,57.0,内田博幸,1:56.1,1/2,**,4-5-3-4,40.3,21.0,7.0,498(+4),,,,[東]古賀慎明,ゴドルフィン,
8,9,6,9,トラストシンゲン,牡3,51.0,菅原明良,1:56.6,3,**,6-6-6-7,40.6,65.7,11.0,510(+2),,,,[東]高木登,菅波雅巳,
9,10,5,7,アッシュドール,牡3,54.0,北村宏司,1:56.6,クビ,**,8-8-6-7,40.5,35.0,8.0,500(-4),,,,[東]勢司和浩,西浩明,
10,11,7,10,トゥルボー,牡3,54.0,田辺裕信,1:56.7,クビ,**,11-12-13-12,40.2,17.8,6.0,482(-8),,,,[東]小笠倫弘,ノースヒルズ,
11,12,8,13,エコロドリーム,牡3,54.0,柴田善臣,1:56.7,ハナ,**,3-3-3-7,40.9,41.0,10.0,466(-6),,,,[東]岩戸孝樹,原村正紀,
12,13,7,11,ピエナクリスエス,牡4,57.0,上野翔,1:58.7,大,**,9-9-11-12,42.3,415.4,13.0,480(-9),,,,[東]萱野浩二,本谷兼三,
0,1,5,7,ミディオーサ,牝3,52.0,Ｍ．デム,1:47.7,,**,2-2-2-2,34.5,3.7,2.0,492(0),,,,[東]堀宣行,サンデーレーシング,750.0
1,2,3,4,ルイジアナママ,牝3,52.0,大野拓弥,1:48.0,1.3/4,**,4-3-5-5,34.5,2.4,1.0,446(+4),,,,[東]新開幸一,稲川一,300.0
2,3,7,11,キタイ,牝3,52.0,戸崎圭太,1:48.2,1.1/2,**,1-1-1-1,35.4,11.1,4.0,488(+14),,,,[東]杉浦宏昭,西村憲人,190.0
3,4,6,10,ブライティアセルバ,牝3,49.0,菅原明良,1:48.2,ハナ,**,2-3-2-2,34.9,23.0,8.0,426(-2),,,,[東]武井亮,小林昌志,110.0
4,5,8,14,ショウナンバビアナ,牝3,52.0,吉田豊,1:48.4,1.1/4,**,4-5-4-2,35.0,5.1,3.0,476(-4),,,,[東]上原博之,国本哲秀,75.0
5,6,8,13,イタリアンホワイト,牝5,55.0,津村明秀,1:48.5,1/2,**,10-8-5-5,35.0,20.9,7.0,520(+18),,,,[東]相沢郁,サンデーレーシング,
6,7,6,9,コトブキスフェール,牝3,52.0,伊藤工真,1:48.5,アタマ,**,6-7-7-7,34.9,48.2,10.0,426(0),,,,[東]金成貴史,尾上松壽,
7,8,4,5,ジューンバラード,牝3,52.0,武士沢友,1:48.5,クビ,**,6-5-9-9,34.8,136.7,13.0,432(-2),,,,[東]堀井雅広,吉川潤,
8,9,7,12,シャワークライム,牝3,52.0,木幡巧也,1:48.6,クビ,**,8-8-7-7,35.0,13.9,5.0,434(+2),,,,[東]田中剛,吉田照哉,
9,10,5,8,ショウナンハルラ,牝3,49.0,藤田菜七,1:48.6,クビ,**,10-13-9-9,34.8,20.9,6.0,414(0),,,,[東]古賀史生,国本哲秀,
10,11,1,1,サンデースクール,牝3,51.0,野中悠太,1:48.8,1.1/4,**,8-8-12-11,34.9,60.7,11.0,440(+2),,,,[東]小島茂之,ゴドルフィン,
11,12,2,2,ニシノプレジール,牝3,51.0,武藤雅,1:48.9,1/2,**,14-14-14-11,34.6,47.6,9.0,418(-6),,,,[東]鈴木伸尋,西山茂行,
12,13,4,6,シバノテンショウ,牝3,51.0,菊沢一樹,1:49.1,1.1/2,**,10-11-9-11,35.3,128.8,12.0,476(+8),,,,[東]菊沢隆徳,柴一男,
13,14,3,3,スリーオーラ,牝3,52.0,的場勇人,1:50.4,8,**,13-11-12-14,36.5,320.1,14.0,428(-2),,,,[東]柄崎孝,永井商事,
0,1,3,6,ウィーンソナタ,牝2,54.0,田辺裕信,1:13.1,,**,1-1,38.6,5.1,2.0,490(0),,,,[東]伊藤圭三,星野隆男,700.0
1,2,7,13,スターファイター,牡2,54.0,嘉藤貴行,1:13.7,3.1/2,**,7-6,38.3,50.5,10.0,474(0),,,,[東]田島俊明,ＹＧＧホースクラブ,280.0
2,3,2,4,デルマサファイア,牝2,53.0,菊沢一樹,1:14.0,2,**,3-2,39.2,18.5,6.0,466(0),,,,[東]菊沢隆徳,浅沼廣幸,180.0
3,4,4,7,ルヴァンヴェール,牡2,53.0,武藤雅,1:14.4,2.1/2,**,7-7,39.0,8.9,3.0,486(0),,,,[東]竹内正洋,グリーンファーム,110.0
4,5,6,11,メモワールミノル,牡2,54.0,三浦皇成,1:14.6,3/4,**,5-5,39.7,17.5,5.0,458(0),,,,[東]中舘英二,吉岡實,70.0
5,6,3,5,ソクシン,牡2,53.0,野中悠太,1:14.6,クビ,**,13-14,37.5,40.0,8.0,514(0),,,,[東]小西一男,重松國建,
6,7,5,10,キョウエイリヴァル,牡2,54.0,武士沢友,1:14.9,2,**,3-2,40.2,72.1,11.0,464(0),,,,[東]武藤善則,田中晴夫,
7,8,5,9,タマモエクラン,牝2,54.0,横山典弘,1:15.0,クビ,**,2-2,40.5,1.8,1.0,490(0),,,,[東]水野貴広,タマモ,
8,9,7,14,トーセンポエム,牡2,54.0,江田照男,1:15.5,3,**,6-7,40.3,41.3,9.0,508(0),,,,[東]杉浦宏昭,島川隆哉,
9,10,6,12,タイムカプセル,牡2,51.0,菅原明良,1:15.7,1.1/4,**,11-10,38.7,159.4,13.0,428(0),,,,[東]土田稔,ミルファーム,
10,11,8,16,リョウランハート,牡2,54.0,横山和生,1:15.8,クビ,**,9-9,39.1,177.2,14.0,456(0),,,,[東]小野次郎,佐藤啓子,
11,12,1,2,ブラーニーキス,牝2,54.0,内田博幸,1:16.2,2.1/2,**,16-16,38.4,13.7,4.0,512(0),,,,[東]稲垣幸雄,吉田和美,
12,13,2,3,イデアスタイル,牝2,54.0,柴田大知,1:16.3,3/4,**,13-10,39.2,224.1,15.0,492(0),,,,[東]清水英克,益田修一,
13,14,4,8,シゲルフタゴザ,牡2,54.0,大野拓弥,1:16.4,3/4,**,11-10,39.5,32.4,7.0,472(0),,,,[東]和田勇介,森中蕃,
14,15,1,1,グラスピエーナ,牝2,54.0,吉田豊,1:17.1,4,**,15-15,39.8,228.2,16.0,454(0),,,,[東]田中清隆,半沢,
15,16,8,15,バルセロナ,牝2,51.0,小林凌大,1:18.2,7,**,9-13,41.6,116.3,12.0,454(0),,,,[東]和田勇介,ヒダカ・ブリーダーズ・ユニオン,
0,1,1,1,ジョーアラビカ,牡5,55.0,横山典弘,1:32.1,,**,4-4-6,33.6,6.2,3.0,500(-8),,,,[西]清水久詞,上田けい子,"1,527.3"
1,2,8,10,トーセンリスト,牝3,51.0,菊沢一樹,1:32.1,アタマ,**,2-2-2,33.9,24.8,9.0,440(+18),,,,[東]菊沢隆徳,島川隆哉,607.8
2,3,6,7,ナムラムツゴロー,牡4,54.0,松岡正海,1:32.2,3/4,**,2-2-2,33.9,10.5,4.0,482(-2),,,,[西]長谷川浩,奈村信重,383.9
3,4,6,6,スイートセント,牝3,52.0,戸崎圭太,1:32.2,クビ,**,6-4-4,33.8,2.1,1.0,432(-10),,,,[東]栗田徹,シルクレーシング,230.0
4,5,2,2,ショワドゥロワ,牡5,55.0,ルメール,1:32.2,ハナ,**,4-4-4,33.7,4.9,2.0,508(-2),,,,[東]鹿戸雄一,村野康司,150.0
5,6,7,9,モルフェオルフェ,牝4,52.0,江田照男,1:32.4,1.1/4,**,1-1-1,34.4,31.2,10.0,436(+2),,,,[東]大江原哲,並河賢一郎,
6,7,4,4,コスモヨハネ,牡7,54.0,柴田大知,1:32.4,ハナ,**,11-10-10,33.2,20.0,7.0,488(-4),,,,[東]高橋裕,ビッグレッドファーム,
7,8,3,3,ボールドジャパン,牡8,53.0,丸山元気,1:32.5,クビ,**,7-8-8,33.7,156.7,11.0,522(-2),,,,[東]蛯名利弘,増田陽一,
8,8,7,8,ウィンターリリー,牝3,51.0,大野拓弥,1:32.5,同着,**,10-11-10,33.0,13.5,6.0,434(-8),,,,[東]岩戸孝樹,田頭勇貴,
9,10,8,11,スズカアーチスト,牝4,52.0,黛弘人,1:32.5,アタマ,**,7-7-6,33.8,24.0,8.0,464(-10),,,,[東]伊藤圭三,永井啓弍,
10,11,5,5,オーヴォドーロ,牝4,53.0,石橋脩,1:32.7,1.1/4,**,9-9-9,33.7,11.2,5.0,468(+6),,,,[東]久保田貴,諸江幸祐,
0,1,1,1,ニーマルサンデー,牡5,60.0,江田勇亮,3:12.5,,,3-3-3-2,13.4,1.6,1.0,478(-4),,,,[東]田村康仁,板橋秋,780.0
1,2,7,7,ビーハグ,セ7,60.0,山本康志,3:12.9,2.1/2,,5-5-3-3,13.4,11.7,5.0,482(+2),,,,[東]松山将樹,岡田壮史,310.0
2,3,6,6,ルーラーキング,牡5,60.0,伴啓太,3:13.1,1.1/4,,9-9-7-5,13.4,28.5,7.0,464(-6),,,,[東]小笠倫弘,宮本貞雄,200.0
3,4,7,8,ストレイライトラン,牡4,60.0,五十嵐雄,3:13.1,ハナ,,1-1-1-1,13.4,6.2,3.0,478(-8),,,,[東]堀井雅広,ローレルレーシング,120.0
4,5,8,10,キールコネクション,牡7,60.0,蓑島靖典,3:13.4,2,,3-4-6-7,13.4,9.4,4.0,482(0),,,,[東]尾関知人,水上行雄,78.0
5,6,3,3,ファイアプルーフ,牡4,60.0,大江原圭,3:13.9,3,,6-5-5-5,13.5,21.8,6.0,502(0),,,,[東]根本康広,犬塚悠治郎,
6,7,4,4,クラウンレガシー,セ4,60.0,大庭和弥,3:16.5,大,,9-10-9-9,13.6,39.3,8.0,500(0),,,,[東]星野忍,矢野まり子,
7,8,5,5,フロリアヌス,牡4,60.0,上野翔,3:16.8,2,,2-2-2-4,13.7,56.1,9.0,458(-12),,,,[東]武藤善則,グリーンファーム,
8,9,2,2,インペリオーソ,牝4,58.0,石神深一,3:17.9,7,,7-7-8-8,13.7,5.8,2.0,476(+4),,,,[東]松山将樹,吉岡泰治,
9,10,8,9,グレートデー,牡3,58.0,高野和馬,3:23.2,大,,8-8-9-10,14.1,209.4,10.0,500(-6),,,,[東]加藤和宏,スピードファーム,
0,1,5,7,シュルルヴァン,牝2,54.0,大野拓弥,1:09.0,,**,10-8,34.4,2.6,1.0,454(+2),,,,[東]高木登,街風隆雄,500.0
1,2,6,9,テンジュイン,牝2,54.0,丹内祐次,1:09.1,3/4,**,5-3,35.2,15.0,6.0,412(+2),,,,[東]菊川正達,ビッグレッドファーム,200.0
2,3,3,3,ユニティコ,牝2,54.0,柴田大知,1:09.1,ハナ,**,6-6,35.1,5.7,3.0,458(+2),,,,[東]高橋祥泰,鈴木芳夫,130.0
3,4,5,6,セルレア,牝2,53.0,菊沢一樹,1:09.1,ハナ,**,2-2,35.5,7.2,4.0,456(-4),,,,[東]菊沢隆徳,パニオロ,75.0
4,5,2,2,ラファームソルティ,牝2,54.0,丸田恭介,1:09.3,1.1/4,**,6-6,35.2,3.8,2.0,428(-2),,,,[東]蛯名利弘,荻伏服部牧場,50.0
5,6,4,4,ファビュラスライン,牝2,53.0,武藤雅,1:09.4,1/2,**,3-3,35.6,43.5,8.0,430(+6),,,,[東]黒岩陽一,グリーンファーム,
6,7,6,8,エクメディクイーン,牝2,54.0,内田博幸,1:09.7,1.3/4,**,12-11,34.9,31.1,7.0,394(+2),,,,[東]深山雅史,橋本慎太郎,
7,8,7,10,アースレイナ,牝2,54.0,横山和生,1:09.7,クビ,**,9-8,35.3,52.8,9.0,410(-4),,,,[東]清水英克,松山増男,
8,9,7,11,アンビルクローラー,牝2,54.0,石橋脩,1:10.1,2.1/2,**,3-5,36.3,13.0,5.0,436(-2),,,,[東]加藤和宏,スピードファーム,
9,10,1,1,トウキョウガール,牝2,51.0,菅原明良,1:10.4,1.1/2,**,1-1,36.9,198.0,10.0,422(+2),,,,[東]萱野浩二,田頭勇貴,
10,11,8,13,プリティーハート,牝2,53.0,野中悠太,1:10.7,2,**,6-10,36.7,262.1,12.0,406(+4),,,,[東]本間忍,堀口晴男,
11,12,8,12,マインヒロイン,牝2,54.0,宮崎北斗,1:10.7,クビ,**,13-13,35.4,455.7,13.0,432(0),,,,[東]萱野浩二,峰哲馬,
12,13,4,5,ジェイダ,牝2,52.0,木幡育也,1:11.8,7,**,10-11,37.2,252.6,11.0,406(+6),,,,[東]佐藤吉勝,田端修,
0,1,1,1,アカネサス,牝3,53.0,池添謙一,1:10.0,,**,2-2,36.6,2.8,1.0,480(-12),,,,[西]浅見秀一,林正道,"1,541.3"
1,2,3,5,デピュティプライム,セ6,57.0,ルメール,1:10.2,1,**,6-7,36.3,9.7,5.0,484(+6),,,,[東]小島茂之,丸山担,611.8
2,3,2,3,ガンケン,牡3,55.0,内田博幸,1:10.3,1/2,**,14-14,35.2,16.1,6.0,518(+8),,,,[西]宮本博,岡浩二,385.9
3,4,1,2,エタニティーワルツ,牡6,57.0,丸田恭介,1:10.3,アタマ,**,3-3,36.7,87.6,12.0,504(+14),,,,[東]大和田成,村島昭男,230.0
4,5,5,9,ショウナンガナドル,牡3,55.0,横山典弘,1:10.3,クビ,**,6-5,36.5,3.4,2.0,478(-2),,,,[東]田中剛,国本哲秀,150.0
5,6,6,12,ホイールバーニング,牡6,57.0,松岡正海,1:10.4,クビ,**,13-13,35.9,41.0,9.0,524(-2),,,,[西]牧田和弥,市川義美ホールディングス,
6,7,8,16,オーロリンチェ,牝4,55.0,江田照男,1:10.4,ハナ,**,1-1,37.1,7.4,4.0,482(+2),,,,[東]高木登,岡田牧雄,
7,8,8,15,タフチョイス,牡4,57.0,鮫島良太,1:10.4,クビ,**,3-3,36.9,6.9,3.0,490(-2),,,,[西]角田晃一,ゴドルフィン,
8,9,6,11,トッカータ,牡4,57.0,武藤雅,1:10.5,クビ,**,15-15,35.0,56.3,11.0,488(+4),,,,[東]和田雄二,門野重雄,
9,10,5,10,ボクノナオミ,牝7,55.0,菊沢一樹,1:10.6,3/4,**,9-11,36.5,96.3,13.0,502(+6),,,,[西]寺島良,塩澤正樹,
10,11,4,7,グラスレオ,牡4,57.0,田辺裕信,1:10.6,アタマ,**,5-5,36.9,32.1,7.0,498(-6),,,,[東]尾形和幸,半沢,
11,12,3,6,ティアップサンダー,牡7,57.0,黛弘人,1:10.7,クビ,**,11-7,36.4,177.1,15.0,492(0),,,,[東]奥平雅士,田中昇,
12,13,7,14,ステラルーチェ,牡7,57.0,武士沢友,1:10.7,クビ,**,11-12,36.3,53.5,10.0,480(+2),,,,[東]蛯名利弘,池田草龍,
13,14,7,13,サウンドジャンゴ,牡7,57.0,野中悠太,1:10.7,アタマ,**,9-7,36.6,113.9,14.0,522(-6),,,,[東]和田正一,増田雄一,
14,15,2,4,レヴァンテライオン,セ5,57.0,福永祐一,1:11.0,1.1/2,**,6-7,37.2,32.1,8.0,496(+4),,,,[東]加藤士津,ライオンレースホース,
15,除,4,8,ナムラムート,牡5,57.0,Ｍ．デム,,,**,,,---,,500(-12),,,,[西]森田直行,奈村睦弘,
0,1,5,5,ラテールプロミーズ,セ6,60.0,五十嵐雄,3:19.3,,,1-1-1-1,13.8,2.4,1.0,514(0),,,,[東]田村康仁,ディアレストクラブ,780.0
1,2,7,8,コウキチョウサン,牡6,60.0,金子光希,3:19.9,3.1/2,,5-4-3-3,13.9,4.7,2.0,470(+4),,,,[東]和田正一,チョウサン,310.0
2,3,1,1,ニシノベイオウルフ,牡4,60.0,大江原圭,3:19.9,クビ,,3-2-2-2,13.9,10.0,5.0,494(0),,,,[東]小桧山悟,西山茂行,200.0
3,4,8,9,ホリデーモード,セ4,60.0,伴啓太,3:20.2,2,,3-5-6-5,13.9,37.4,7.0,490(+4),,,,[東]矢野英一,下河辺隆行,120.0
4,5,8,10,ブルーガーディアン,牡7,60.0,大庭和弥,3:20.3,クビ,,2-2-3-4,13.9,5.0,3.0,492(+2),,,,[東]星野忍,ＹＧＧホースクラブ,78.0
5,6,6,6,ダイワスキャンプ,セ7,60.0,小野寺祐,3:21.1,5,,7-7-5-5,14.0,5.3,4.0,442(+2),,,,[東]鹿戸雄一,大城敬三,
6,7,4,4,ソウラセブン,牝4,58.0,伊藤工真,3:22.9,大,,9-9-10-9,14.1,87.3,10.0,452(+2),,,,[東]柄崎孝,村田滋,
7,8,3,3,リセンティート,牡5,60.0,鈴木慶太,3:23.2,2,,10-10-9-7,14.1,74.4,9.0,510(+2),,,,[東]尾形和幸,米津佳昭,
8,9,2,2,シゲルアミメキリン,牡5,60.0,上野翔,3:23.5,1.3/4,,7-7-6-8,14.1,43.4,8.0,478(+4),,,,[東]蛯名利弘,森中蕃,
9,10,7,7,アキンド,牡3,58.0,石神深一,3:24.6,7,,5-5-8-10,14.2,13.4,6.0,496(-2),,,,[東]粕谷昌央,小田切有一,
0,1,6,12,アルーアキャロル,セ6,57.0,内田博幸,1:11.0,,**,5-5,36.6,3.9,1.0,496(-8),,,,[東]新開幸一,シルクレーシング,"1,100.0"
1,2,8,16,ミスパイロ,牝5,55.0,横山典弘,1:11.1,3/4,**,16-16,35.5,7.1,4.0,486(0),,,,[東]小野次郎,村田哲朗,440.0
2,3,7,14,アルベルティーヌ,牝4,55.0,田中勝春,1:11.2,クビ,**,8-10,36.5,7.5,5.0,446(+8),,,,[東]栗田徹,村野康司,280.0
3,4,5,9,アイアムハヤスギル,牡3,52.0,藤田菜七,1:11.2,クビ,**,12-14,36.3,6.3,3.0,472(0),,,,[東]奥平雅士,堀紘一,170.0
4,5,2,3,グラスボイジャー,牡3,55.0,木幡巧也,1:11.2,アタマ,**,1-1,37.2,6.2,2.0,530(-2),,,,[東]牧光二,半沢,110.0
5,6,1,1,トラストロン,牝4,55.0,吉田豊,1:11.2,ハナ,**,5-5,36.9,20.6,8.0,462(+4),,,,[東]高橋文雅,菅波立知子,
6,7,6,11,カフェライジング,牡7,57.0,横山和生,1:11.3,クビ,**,8-8,36.7,41.6,12.0,494(-12),,,,[西]松永幹夫,西川恭子,
7,8,7,13,シゲルゴホウサイ,牝7,55.0,松岡正海,1:11.5,1.1/2,**,4-4,37.3,138.6,14.0,462(-8),,,,[西]森田直行,森中蕃,
8,9,5,10,スズカゴーディー,牡5,57.0,石橋脩,1:11.6,1/2,**,15-15,36.5,9.3,6.0,484(+6),,,,[東]伊藤圭三,永井啓弍,
9,10,1,2,ギンゴー,牡6,57.0,杉原誠人,1:11.7,クビ,**,5-7,37.3,77.3,13.0,490(0),,,,[東]武市康男,ミルファーム,
10,11,2,4,テキスタイルアート,セ7,54.0,菅原明良,1:11.8,1/2,**,8-8,37.1,196.0,15.0,468(-6),,,,[東]加藤士津,岡田壮史,
11,12,4,8,オールデン,牡5,57.0,戸崎圭太,1:12.1,1.3/4,**,12-10,37.3,29.6,10.0,452(+4),,,,[東]小西一男,金山敏也,
12,13,4,7,ニシノウララ,牝4,55.0,北村宏司,1:12.2,1/2,**,8-10,37.6,21.5,9.0,466(-6),,,,[東]伊藤大士,西山茂行,
13,14,8,15,ロトヴィグラス,牡4,54.0,小林凌大,1:12.3,1/2,**,2-2,38.2,39.2,11.0,480(+4),,,,[東]高市圭二,國武佳博,
14,15,3,5,エブリバディ,牡4,57.0,津村明秀,1:12.3,クビ,**,12-10,37.4,303.5,16.0,476(-2),,,,[東]尾形和幸,中西功,
15,16,3,6,ベアクアウフ,牡3,55.0,三浦皇成,1:12.9,3.1/2,**,2-2,38.8,10.8,7.0,484(-6),,,,[東]清水英克,ディアレストクラブ,
0,1,5,6,シティーオブスター,牡3,54.0,丸山元気,1:54.8,,**,2-2-2-2,37.6,2.7,1.0,492(-4),,,,[東]矢野英一,吉田和美,750.0
1,2,6,9,カウンターエア,牡3,54.0,津村明秀,1:55.0,1.1/4,**,5-5-6-3,37.5,25.7,8.0,558(+22),,,,[東]奥村武,社台レースホース,300.0
2,3,7,11,ホウオウトゥルース,セ3,54.0,大野拓弥,1:55.2,1.1/2,**,1-1-1-1,38.1,5.0,2.0,480(-2),,,,[東]高木登,小笹芳央,190.0
3,4,8,12,シセイタケル,牡4,57.0,吉田豊,1:55.4,1,**,9-9-9-5,37.6,12.2,6.0,468(+4),,,,[東]高橋文雅,猪苗代勇,110.0
